"PCD","Pr","CMA","PwMode","distribution","est_1","est_2","loglike","AIC","BIC"
3518,"Ontario",996,"Car-motor","gamma",1.920798826,0.065178533,-857356.706,1714717.412,1714735.007
3518,"Ontario",996,"Walk","exp",0.086379948,0,-21252.7362,42507.47241,42512.77491
3518,"Ontario",996,"Transit","gamma",3.332274853,0.05908459,-60498.2412,121000.4824,121012.5044
3518,"Ontario",535,"Bike","gamma",1.892772368,0.081415093,-1912.414233,3828.828465,3834.31833
3519,"Ontario",535,"Car-motor","gamma",2.162388113,0.076383887,-1274761.98,2549527.959,2549546.398
3519,"Ontario",535,"Transit","norm",54.88589616,28.44420961,-100347.1571,200698.3141,200711.3858
3519,"Ontario",535,"Walk","exp",0.087638472,0,-29073.34047,58148.68095,58154.29871
3519,"Ontario",535,"Bike","lnorm",2.754477408,0.809769023,-4027.984522,8059.969043,8066.995901
3520,"Ontario",535,"Transit","gamma",3.600681869,0.078768457,-940466.4928,1880936.986,1880954.586
3520,"Ontario",535,"Car-motor","gamma",2.328968347,0.086133669,-1971402.371,3942808.742,3942828.058
3520,"Ontario",535,"Walk","gamma",1.330450853,0.084921589,-224682.9831,449369.9661,449385.0778
3520,"Ontario",535,"Bike","lnorm",2.938879735,0.648251076,-61827.21523,123658.4305,123670.836
3521,"Ontario",535,"Car-motor","gamma",2.330618126,0.086593652,-1675994.338,3351992.676,3352011.7
3521,"Ontario",535,"Walk","exp",0.076908503,0,-36179.02897,72360.05795,72365.85975
3521,"Ontario",535,"Bike","lnorm",2.868574597,0.733964244,-4424.355514,8852.711027,8859.855335
3521,"Ontario",535,"Transit","gamma",3.276135786,0.064589545,-234340.8646,468685.7292,468700.513
3524,"Ontario",535,"Car-motor","gamma",1.923442038,0.074528723,-632487.0952,1264978.19,1264995.252
3524,"Ontario",535,"Transit","norm",53.19935532,26.64873672,-37923.25314,75850.50628,75861.68596
3524,"Ontario",535,"Walk","lnorm",1.895069151,1.075914561,-20177.78594,40359.57187,40370.08729
3524,"Ontario",535,"Bike","gamma",1.993425835,0.112493084,-3112.321726,6228.643453,6235.230063
3525,"Ontario",537,"Car-motor","gamma",1.854368078,0.074597693,-661937.4462,1323878.892,1323896.047
3525,"Ontario",537,"Walk","exp",0.077217363,0,-30907.05536,61816.11072,61821.73387
3525,"Ontario",537,"Transit","gamma",2.240922269,0.054825775,-64130.88463,128265.7693,128277.9568
3525,"Ontario",537,"Bike","lnorm",2.826115959,0.745888848,-4912.840034,9829.680067,9837.012921
